Time-stamp,Watts,Wavelength
2021-07-05 10:20:50.369284,2.19822e-05,0.7000000000000001
2021-07-05 10:20:50.593541,2.66833e-05,0.7000000000000001
2021-07-05 10:20:50.877847,2.18951e-05,0.7000000000000001
2021-07-05 10:20:51.106511,4.65760e-06,0.7000000000000001
2021-07-05 10:20:51.382676,-3.30820e-06,0.7000000000000001
2021-07-05 10:20:51.605772,-9.22815e-06,0.7000000000000001
2021-07-05 10:20:51.834979,-1.08823e-05,0.7000000000000001
2021-07-05 10:20:52.052409,-1.87175e-05,0.7000000000000001
2021-07-05 10:20:52.256444,-1.12305e-05,0.7000000000000001
2021-07-05 10:20:52.502025,-8.96698e-06,0.7000000000000001
2021-07-05 10:20:52.731432,-1.82822e-06,0.7000000000000001
2021-07-05 10:20:52.955832,4.39643e-06,0.7000000000000001
2021-07-05 10:20:53.177249,1.58881e-05,0.7000000000000001
2021-07-05 10:20:53.404633,3.22550e-05,0.7000000000000001
2021-07-05 10:20:53.623060,4.58360e-05,0.7000000000000001
2021-07-05 10:20:53.837476,5.53254e-05,0.7000000000000001
2021-07-05 10:20:54.068871,6.12453e-05,0.7000000000000001
2021-07-05 10:20:54.295252,6.29865e-05,0.7000000000000001
2021-07-05 10:20:54.517657,6.12453e-05,0.7000000000000001
2021-07-05 10:20:54.732099,4.47914e-05,0.7000000000000001
2021-07-05 10:20:54.942089,3.76526e-05,0.7000000000000001
2021-07-05 10:20:55.160499,2.92950e-05,0.7000000000000001
2021-07-05 10:20:55.381913,2.12857e-05,0.7000000000000001
2021-07-05 10:20:55.607305,1.63234e-05,0.7000000000000001
2021-07-05 10:20:55.813779,9.44580e-06,0.7000000000000001
2021-07-05 10:20:56.016504,7.87875e-06,0.7000000000000001
2021-07-05 10:20:56.235654,9.96814e-06,0.7000000000000001
2021-07-05 10:20:56.797354,1.00552e-05,0.7000000000000001
2021-07-05 10:20:57.015372,1.12740e-05,0.7000000000000001
2021-07-05 10:20:57.234751,7.09523e-06,0.7000000000000001
2021-07-05 10:20:57.450215,1.80645e-05,0.7000000000000001
2021-07-05 10:20:57.676171,2.29398e-05,0.7000000000000001
2021-07-05 10:20:57.947830,3.41703e-05,0.7000000000000001
2021-07-05 10:20:58.165841,2.38104e-05,0.7000000000000001
2021-07-05 10:20:58.444311,7.96581e-06,0.7000000000000001
2021-07-05 10:20:58.664562,-4.70113e-06,0.7000000000000001
2021-07-05 10:20:58.937009,-1.04470e-05,0.7000000000000001
2021-07-05 10:20:59.158641,-9.40227e-06,0.7000000000000001
2021-07-05 10:20:59.441928,-1.55834e-05,0.7000000000000001
2021-07-05 10:20:59.662537,-1.62798e-05,0.7000000000000001
2021-07-05 10:20:59.864859,-7.57405e-06,0.7000000000000001
2021-07-05 10:21:00.432638,3.87408e-06,0.7000000000000001
2021-07-05 10:21:00.711662,1.65846e-05,0.7000000000000001
2021-07-05 10:21:00.938383,3.11232e-05,0.7000000000000001
2021-07-05 10:21:01.214467,4.94925e-05,0.7000000000000001
2021-07-05 10:21:01.429222,6.15935e-05,0.7000000000000001
2021-07-05 10:21:01.702373,6.41182e-05,0.7000000000000001
2021-07-05 10:21:01.924779,6.43794e-05,0.7000000000000001
2021-07-05 10:21:02.203520,4.58360e-05,0.7000000000000001
2021-07-05 10:21:02.432134,3.57373e-05,0.7000000000000001
2021-07-05 10:21:02.706807,2.52904e-05,0.7000000000000001
2021-07-05 10:21:02.998429,1.98928e-05,0.7000000000000001
2021-07-05 10:21:03.219248,1.21446e-05,0.7000000000000001
2021-07-05 10:21:03.513712,8.92345e-06,0.7000000000000001
2021-07-05 10:21:03.728913,8.40110e-06,0.7000000000000001
2021-07-05 10:21:03.934495,7.96581e-06,0.7000000000000001
2021-07-05 10:21:04.210927,1.04905e-05,0.7000000000000001
2021-07-05 10:21:04.502250,8.22698e-06,0.7000000000000001
2021-07-05 10:21:04.718800,7.26935e-06,0.7000000000000001
2021-07-05 10:21:04.990827,1.50175e-05,0.7000000000000001
2021-07-05 10:21:05.556370,2.62480e-05,0.7000000000000001
2021-07-05 10:21:06.091424,2.39845e-05,0.7000000000000001
2021-07-05 10:21:06.371658,1.23187e-05,0.7000000000000001
2021-07-05 10:21:06.601885,-1.74116e-06,0.7000000000000001
2021-07-05 10:21:06.883191,-1.32328e-05,0.7000000000000001
2021-07-05 10:21:07.101160,-1.12305e-05,0.7000000000000001
2021-07-05 10:21:07.373157,-1.30587e-05,0.7000000000000001
2021-07-05 10:21:07.590285,-1.58446e-05,0.7000000000000001
